period,year,taxa,place,station,fail,succ,lat,mic
1,2015,E. nilssonii,HUS1,Huso,516,121,60.27874333,1
1,2015,E. nilssonii,HUS2,Huso,509,128,60.27874333,1
1,2015,E. nilssonii,HUS3,Huso,547,90,60.27874333,1
1,2015,E. nilssonii,HYY1,Hyytiala,541,65,61.84478167,1
1,2015,E. nilssonii,HYY2,Hyytiala,602,4,61.84478167,1
1,2015,E. nilssonii,HYY3,Hyytiala,578,28,61.84478167,1
1,2015,E. nilssonii,KON2,Konnevesi,563,28,62.61605,1
1,2015,E. nilssonii,KON3,Konnevesi,562,29,62.61605,1
1,2015,E. nilssonii,LAM1,Lammi,574,0,61.05408333,1
1,2015,E. nilssonii,LAM2,Lammi,557,17,61.05408333,1
1,2015,E. nilssonii,LAM3,Lammi,562,12,61.05408333,1
1,2015,E. nilssonii,OUL1,Oulanka,490,0,66.37026833,1
1,2015,E. nilssonii,OUL2,Oulanka,490,0,66.37026833,1
1,2015,E. nilssonii,OUL3,Oulanka,490,0,66.37026833,1
1,2015,E. nilssonii,TVA1,Tvarminne,172,2,59.84394167,1
1,2015,E. nilssonii,TVA2,Tvarminne,171,3,59.84394167,1
1,2015,E. nilssonii,TVA3,Tvarminne,150,24,59.84394167,1
1,2015,Myotis sp.,HUS1,Huso,563,74,60.27874333,1
1,2015,Myotis sp.,HUS2,Huso,566,71,60.27874333,1
1,2015,Myotis sp.,HUS3,Huso,571,66,60.27874333,1
1,2015,Myotis sp.,HYY1,Hyytiala,559,47,61.84478167,1
1,2015,Myotis sp.,HYY2,Hyytiala,559,47,61.84478167,1
1,2015,Myotis sp.,HYY3,Hyytiala,448,158,61.84478167,1
1,2015,Myotis sp.,KON2,Konnevesi,511,80,62.61605,1
1,2015,Myotis sp.,KON3,Konnevesi,519,72,62.61605,1
1,2015,Myotis sp.,LAM1,Lammi,529,45,61.05408333,1
1,2015,Myotis sp.,LAM2,Lammi,498,76,61.05408333,1
1,2015,Myotis sp.,LAM3,Lammi,418,156,61.05408333,1
1,2015,Myotis sp.,OUL1,Oulanka,490,0,66.37026833,1
1,2015,Myotis sp.,OUL2,Oulanka,490,0,66.37026833,1
1,2015,Myotis sp.,OUL3,Oulanka,490,0,66.37026833,1
1,2015,Myotis sp.,TVA1,Tvarminne,135,39,59.84394167,1
1,2015,Myotis sp.,TVA2,Tvarminne,129,45,59.84394167,1
1,2015,Myotis sp.,TVA3,Tvarminne,79,95,59.84394167,1
1,2015,P. nathusii,HUS1,Huso,565,72,60.27874333,1
1,2015,P. nathusii,HUS2,Huso,631,6,60.27874333,1
1,2015,P. nathusii,HUS3,Huso,622,15,60.27874333,1
1,2015,P. nathusii,HYY1,Hyytiala,606,0,61.84478167,1
1,2015,P. nathusii,HYY2,Hyytiala,606,0,61.84478167,1
1,2015,P. nathusii,HYY3,Hyytiala,606,0,61.84478167,1
1,2015,P. nathusii,KON2,Konnevesi,591,0,62.61605,1
1,2015,P. nathusii,KON3,Konnevesi,591,0,62.61605,1
1,2015,P. nathusii,LAM1,Lammi,574,0,61.05408333,1
1,2015,P. nathusii,LAM2,Lammi,574,0,61.05408333,1
1,2015,P. nathusii,LAM3,Lammi,574,0,61.05408333,1
1,2015,P. nathusii,OUL1,Oulanka,490,0,66.37026833,1
1,2015,P. nathusii,OUL2,Oulanka,490,0,66.37026833,1
1,2015,P. nathusii,OUL3,Oulanka,490,0,66.37026833,1
1,2015,P. nathusii,TVA1,Tvarminne,173,1,59.84394167,1
1,2015,P. nathusii,TVA2,Tvarminne,174,0,59.84394167,1
1,2015,P. nathusii,TVA3,Tvarminne,173,1,59.84394167,1
1,2016,E. nilssonii,HUS1,Huso,443,187,60.27874333,1
1,2016,E. nilssonii,HUS2,Huso,528,102,60.27874333,1
1,2016,E. nilssonii,HUS3,Huso,458,172,60.27874333,1
1,2016,E. nilssonii,HYY2,Hyytiala,602,0,61.84478167,1
1,2016,E. nilssonii,HYY3,Hyytiala,584,18,61.84478167,1
1,2016,E. nilssonii,KON2,Konnevesi,564,21,62.61605,1
1,2016,E. nilssonii,KON3,Konnevesi,539,46,62.61605,1
1,2016,E. nilssonii,LAM1,Lammi,576,0,61.05408333,1
1,2016,E. nilssonii,LAM2,Lammi,601,16,61.05408333,1
1,2016,E. nilssonii,LAM3,Lammi,615,2,61.05408333,1
1,2016,E. nilssonii,OUL1,Oulanka,476,7,66.37026833,1
1,2016,E. nilssonii,OUL2,Oulanka,480,3,66.37026833,1
