period,year,taxa,device,station,succ,weight,lat,mic
1,2015,E. nilssonii,HUS1,Huso,121,637,60.27874333,1
1,2015,E. nilssonii,HUS2,Huso,128,637,60.27874333,1
1,2015,E. nilssonii,HUS3,Huso,90,637,60.27874333,1
1,2015,E. nilssonii,HYY1,Hyytiala,65,606,61.84478167,1
1,2015,E. nilssonii,HYY2,Hyytiala,4,606,61.84478167,1
1,2015,E. nilssonii,HYY3,Hyytiala,28,606,61.84478167,1
1,2015,E. nilssonii,KON2,Konnevesi,28,591,62.61605,1
1,2015,E. nilssonii,KON3,Konnevesi,29,591,62.61605,1
1,2015,E. nilssonii,LAM1,Lammi,0,574,61.05408333,1
1,2015,E. nilssonii,LAM2,Lammi,17,574,61.05408333,1
1,2015,E. nilssonii,LAM3,Lammi,12,574,61.05408333,1
1,2015,E. nilssonii,OUL1,Oulanka,0,490,66.37026833,1
1,2015,E. nilssonii,OUL2,Oulanka,0,490,66.37026833,1
1,2015,E. nilssonii,OUL3,Oulanka,0,490,66.37026833,1
1,2015,E. nilssonii,TVA1,Tvarminne,2,174,59.84394167,1
1,2015,E. nilssonii,TVA2,Tvarminne,3,174,59.84394167,1
1,2015,E. nilssonii,TVA3,Tvarminne,24,174,59.84394167,1
1,2015,Myotis sp.,HUS1,Huso,74,637,60.27874333,1
1,2015,Myotis sp.,HUS2,Huso,71,637,60.27874333,1
1,2015,Myotis sp.,HUS3,Huso,66,637,60.27874333,1
1,2015,Myotis sp.,HYY1,Hyytiala,47,606,61.84478167,1
1,2015,Myotis sp.,HYY2,Hyytiala,47,606,61.84478167,1
1,2015,Myotis sp.,HYY3,Hyytiala,158,606,61.84478167,1
1,2015,Myotis sp.,KON2,Konnevesi,80,591,62.61605,1
1,2015,Myotis sp.,KON3,Konnevesi,72,591,62.61605,1
1,2015,Myotis sp.,LAM1,Lammi,45,574,61.05408333,1
1,2015,Myotis sp.,LAM2,Lammi,76,574,61.05408333,1
1,2015,Myotis sp.,LAM3,Lammi,156,574,61.05408333,1
1,2015,Myotis sp.,OUL1,Oulanka,0,490,66.37026833,1
1,2015,Myotis sp.,OUL2,Oulanka,0,490,66.37026833,1
1,2015,Myotis sp.,OUL3,Oulanka,0,490,66.37026833,1
1,2015,Myotis sp.,TVA1,Tvarminne,39,174,59.84394167,1
1,2015,Myotis sp.,TVA2,Tvarminne,45,174,59.84394167,1
1,2015,Myotis sp.,TVA3,Tvarminne,95,174,59.84394167,1
1,2015,P. nathusii,HUS1,Huso,72,637,60.27874333,1
1,2015,P. nathusii,HUS2,Huso,6,637,60.27874333,1
1,2015,P. nathusii,HUS3,Huso,15,637,60.27874333,1
1,2015,P. nathusii,HYY1,Hyytiala,0,606,61.84478167,1
1,2015,P. nathusii,HYY2,Hyytiala,0,606,61.84478167,1
1,2015,P. nathusii,HYY3,Hyytiala,0,606,61.84478167,1
1,2015,P. nathusii,KON2,Konnevesi,0,591,62.61605,1
1,2015,P. nathusii,KON3,Konnevesi,0,591,62.61605,1
1,2015,P. nathusii,LAM1,Lammi,0,574,61.05408333,1
1,2015,P. nathusii,LAM2,Lammi,0,574,61.05408333,1
1,2015,P. nathusii,LAM3,Lammi,0,574,61.05408333,1
1,2015,P. nathusii,OUL1,Oulanka,0,490,66.37026833,1
1,2015,P. nathusii,OUL2,Oulanka,0,490,66.37026833,1
1,2015,P. nathusii,OUL3,Oulanka,0,490,66.37026833,1
1,2015,P. nathusii,TVA1,Tvarminne,1,174,59.84394167,1
1,2015,P. nathusii,TVA2,Tvarminne,0,174,59.84394167,1
1,2015,P. nathusii,TVA3,Tvarminne,1,174,59.84394167,1
1,2016,E. nilssonii,HUS1,Huso,187,630,60.27874333,1
1,2016,E. nilssonii,HUS2,Huso,102,630,60.27874333,1
1,2016,E. nilssonii,HUS3,Huso,172,630,60.27874333,1
1,2016,E. nilssonii,HYY2,Hyytiala,0,602,61.84478167,1
1,2016,E. nilssonii,HYY3,Hyytiala,18,602,61.84478167,1
1,2016,E. nilssonii,KON2,Konnevesi,21,585,62.61605,1
1,2016,E. nilssonii,KON3,Konnevesi,46,585,62.61605,1
1,2016,E. nilssonii,LAM1,Lammi,0,576,61.05408333,1
1,2016,E. nilssonii,LAM2,Lammi,16,617,61.05408333,1
1,2016,E. nilssonii,LAM3,Lammi,2,617,61.05408333,1
1,2016,E. nilssonii,OUL1,Oulanka,7,483,66.37026833,1
1,2016,E. nilssonii,OUL2,Oulanka,3,483,66.37026833,1
1,2016,E. nilssonii,OUL3,Oulanka,4,483,66.37026833,1
1,2016,E. nilssonii,OYO1,Oulu,0,100,65.05938167,1
1,2016,E. nilssonii,SEI1,Seili,11,144,60.23959333,1
1,2016,E. nilssonii,SEI2,Seili,0,418,60.23959333,1
1,2016,E. nilssonii,SEI3,Seili,43,374,60.23959333,1
1,2016,E. nilssonii,TVA1,Tvarminne,1,45,59.84394167,1
1,2016,E. nilssonii,TVA2,Tvarminne,14,263,59.84394167,1
1,2016,E. nilssonii,TVA3,Tvarminne,20,263,59.84394167,1
1,2016,Myotis sp.,HUS1,Huso,74,630,60.27874333,1
1,2016,Myotis sp.,HUS2,Huso,142,630,60.27874333,1
1,2016,Myotis sp.,HUS3,Huso,59,630,60.27874333,1
1,2016,Myotis sp.,HYY2,Hyytiala,131,602,61.84478167,1
1,2016,Myotis sp.,HYY3,Hyytiala,126,602,61.84478167,1
1,2016,Myotis sp.,KON2,Konnevesi,96,585,62.61605,1
1,2016,Myotis sp.,KON3,Konnevesi,63,585,62.61605,1
1,2016,Myotis sp.,LAM1,Lammi,87,576,61.05408333,1
1,2016,Myotis sp.,LAM2,Lammi,118,617,61.05408333,1
1,2016,Myotis sp.,LAM3,Lammi,160,617,61.05408333,1
1,2016,Myotis sp.,OUL1,Oulanka,0,483,66.37026833,1
1,2016,Myotis sp.,OUL2,Oulanka,0,483,66.37026833,1
1,2016,Myotis sp.,OUL3,Oulanka,0,483,66.37026833,1
1,2016,Myotis sp.,OYO1,Oulu,0,100,65.05938167,1
1,2016,Myotis sp.,SEI1,Seili,4,144,60.23959333,1
1,2016,Myotis sp.,SEI2,Seili,109,418,60.23959333,1
1,2016,Myotis sp.,SEI3,Seili,21,374,60.23959333,1
1,2016,Myotis sp.,TVA1,Tvarminne,10,45,59.84394167,1
1,2016,Myotis sp.,TVA2,Tvarminne,93,263,59.84394167,1
1,2016,Myotis sp.,TVA3,Tvarminne,49,263,59.84394167,1
1,2016,P. nathusii,HUS1,Huso,2,630,60.27874333,1
1,2016,P. nathusii,HUS2,Huso,2,630,60.27874333,1
1,2016,P. nathusii,HUS3,Huso,2,630,60.27874333,1
1,2016,P. nathusii,HYY2,Hyytiala,0,602,61.84478167,1
1,2016,P. nathusii,HYY3,Hyytiala,0,602,61.84478167,1
1,2016,P. nathusii,KON2,Konnevesi,0,585,62.61605,1
1,2016,P. nathusii,KON3,Konnevesi,0,585,62.61605,1
1,2016,P. nathusii,LAM1,Lammi,0,576,61.05408333,1
1,2016,P. nathusii,LAM2,Lammi,0,617,61.05408333,1
1,2016,P. nathusii,LAM3,Lammi,0,617,61.05408333,1
1,2016,P. nathusii,OUL1,Oulanka,0,483,66.37026833,1
1,2016,P. nathusii,OUL2,Oulanka,0,483,66.37026833,1
1,2016,P. nathusii,OUL3,Oulanka,0,483,66.37026833,1
1,2016,P. nathusii,OYO1,Oulu,0,100,65.05938167,1
1,2016,P. nathusii,SEI1,Seili,0,144,60.23959333,1
1,2016,P. nathusii,SEI2,Seili,0,418,60.23959333,1
1,2016,P. nathusii,SEI3,Seili,1,374,60.23959333,1
1,2016,P. nathusii,TVA1,Tvarminne,0,45,59.84394167,1
1,2016,P. nathusii,TVA2,Tvarminne,1,263,59.84394167,1
1,2016,P. nathusii,TVA3,Tvarminne,1,263,59.84394167,1
1,2018,E. nilssonii,HUS1,Huso,199,351,60.27874333,2
1,2018,E. nilssonii,HUS3,Huso,114,351,60.27874333,2
1,2018,E. nilssonii,KON1,Konnevesi,2,44,62.61605,1
1,2018,E. nilssonii,KON2,Konnevesi,10,589,62.61605,1
1,2018,E. nilssonii,LAM1,Lammi,13,620,61.05408333,1
1,2018,E. nilssonii,LAM2,Lammi,19,620,61.05408333,1
1,2018,E. nilssonii,OYO3,Oulu,5,172,65.05938167,1
1,2018,E. nilssonii,SEI2,Seili,2,537,60.23959333,1
1,2018,Myotis sp.,HUS1,Huso,44,351,60.27874333,2
1,2018,Myotis sp.,HUS3,Huso,66,351,60.27874333,2
1,2018,Myotis sp.,KON1,Konnevesi,0,44,62.61605,1
1,2018,Myotis sp.,KON2,Konnevesi,24,589,62.61605,1
1,2018,Myotis sp.,LAM1,Lammi,100,620,61.05408333,1
1,2018,Myotis sp.,LAM2,Lammi,54,620,61.05408333,1
1,2018,Myotis sp.,OYO3,Oulu,0,172,65.05938167,1
1,2018,Myotis sp.,SEI2,Seili,184,537,60.23959333,1
1,2018,P. nathusii,HUS1,Huso,28,351,60.27874333,2
1,2018,P. nathusii,HUS3,Huso,17,351,60.27874333,2
1,2018,P. nathusii,KON1,Konnevesi,0,44,62.61605,1
1,2018,P. nathusii,KON2,Konnevesi,0,589,62.61605,1
1,2018,P. nathusii,LAM1,Lammi,0,620,61.05408333,1
1,2018,P. nathusii,LAM2,Lammi,0,620,61.05408333,1
1,2018,P. nathusii,OYO3,Oulu,0,172,65.05938167,1
1,2018,P. nathusii,SEI2,Seili,0,537,60.23959333,1
1,2019,E. nilssonii,HUS1,Huso,88,637,60.27874333,2
1,2019,E. nilssonii,HUS3,Huso,36,637,60.27874333,2
1,2019,E. nilssonii,HYY2,Hyytiala,3,607,61.84478167,1
1,2019,E. nilssonii,HYY3,Hyytiala,4,607,61.84478167,1
1,2019,E. nilssonii,KON1,Konnevesi,1,77,62.61605,1
1,2019,E. nilssonii,KON2,Konnevesi,3,77,62.61605,1
1,2019,E. nilssonii,LAM1,Lammi,3,622,61.05408333,1
1,2019,E. nilssonii,LAM2,Lammi,6,622,61.05408333,1
1,2019,E. nilssonii,OYO1,Oulu,8,530,65.05938167,1
1,2019,E. nilssonii,OYO3,Oulu,0,530,65.05938167,1
1,2019,E. nilssonii,SEI2,Seili,1,638,60.23959333,1
1,2019,E. nilssonii,SEI3,Seili,15,638,60.23959333,1
1,2019,E. nilssonii,TVA2,Tvarminne,6,644,59.84394167,1
1,2019,E. nilssonii,TVA3,Tvarminne,15,644,59.84394167,1
1,2019,Myotis sp.,HUS1,Huso,57,637,60.27874333,2
1,2019,Myotis sp.,HUS3,Huso,60,637,60.27874333,2
1,2019,Myotis sp.,HYY2,Hyytiala,41,607,61.84478167,1
1,2019,Myotis sp.,HYY3,Hyytiala,51,607,61.84478167,1
1,2019,Myotis sp.,KON1,Konnevesi,2,77,62.61605,1
1,2019,Myotis sp.,KON2,Konnevesi,6,77,62.61605,1
1,2019,Myotis sp.,LAM1,Lammi,53,622,61.05408333,1
1,2019,Myotis sp.,LAM2,Lammi,33,622,61.05408333,1
1,2019,Myotis sp.,OYO1,Oulu,0,530,65.05938167,1
1,2019,Myotis sp.,OYO3,Oulu,0,530,65.05938167,1
1,2019,Myotis sp.,SEI2,Seili,155,638,60.23959333,1
1,2019,Myotis sp.,SEI3,Seili,44,638,60.23959333,1
1,2019,Myotis sp.,TVA2,Tvarminne,136,644,59.84394167,1
1,2019,Myotis sp.,TVA3,Tvarminne,157,644,59.84394167,1
1,2019,P. nathusii,HUS1,Huso,98,637,60.27874333,2
1,2019,P. nathusii,HUS3,Huso,28,637,60.27874333,2
1,2019,P. nathusii,HYY2,Hyytiala,0,607,61.84478167,1
1,2019,P. nathusii,HYY3,Hyytiala,0,607,61.84478167,1
1,2019,P. nathusii,KON1,Konnevesi,0,77,62.61605,1
1,2019,P. nathusii,KON2,Konnevesi,0,77,62.61605,1
1,2019,P. nathusii,LAM1,Lammi,0,622,61.05408333,1
1,2019,P. nathusii,LAM2,Lammi,0,622,61.05408333,1
1,2019,P. nathusii,OYO1,Oulu,0,530,65.05938167,1
1,2019,P. nathusii,OYO3,Oulu,0,530,65.05938167,1
1,2019,P. nathusii,SEI2,Seili,0,638,60.23959333,1
1,2019,P. nathusii,SEI3,Seili,5,638,60.23959333,1
1,2019,P. nathusii,TVA2,Tvarminne,29,644,59.84394167,1
1,2019,P. nathusii,TVA3,Tvarminne,17,644,59.84394167,1
1,2020,E. nilssonii,HYY2,Hyytiala,7,602,61.84478167,1
1,2020,E. nilssonii,KON1,Konnevesi,9,362,62.61605,1
1,2020,E. nilssonii,KON2,Konnevesi,7,362,62.61605,1
1,2020,E. nilssonii,LAM1,Lammi,3,385,61.05408333,1
1,2020,E. nilssonii,LAM2,Lammi,11,385,61.05408333,1
1,2020,E. nilssonii,SEI2,Seili,1,350,60.23959333,1
1,2020,E. nilssonii,SEI3,Seili,30,350,60.23959333,1
1,2020,E. nilssonii,TVA2,Tvarminne,21,448,59.84394167,1
1,2020,E. nilssonii,TVA3,Tvarminne,49,448,59.84394167,1
1,2020,Myotis sp.,HYY2,Hyytiala,58,602,61.84478167,1
1,2020,Myotis sp.,KON1,Konnevesi,39,362,62.61605,1
1,2020,Myotis sp.,KON2,Konnevesi,37,362,62.61605,1
1,2020,Myotis sp.,LAM1,Lammi,47,385,61.05408333,1
1,2020,Myotis sp.,LAM2,Lammi,31,385,61.05408333,1
1,2020,Myotis sp.,SEI2,Seili,159,350,60.23959333,1
1,2020,Myotis sp.,SEI3,Seili,74,350,60.23959333,1
1,2020,Myotis sp.,TVA2,Tvarminne,167,448,59.84394167,1
1,2020,Myotis sp.,TVA3,Tvarminne,185,448,59.84394167,1
1,2020,P. nathusii,HYY2,Hyytiala,0,602,61.84478167,1
1,2020,P. nathusii,KON1,Konnevesi,0,362,62.61605,1
1,2020,P. nathusii,KON2,Konnevesi,0,362,62.61605,1
1,2020,P. nathusii,LAM1,Lammi,0,385,61.05408333,1
1,2020,P. nathusii,LAM2,Lammi,0,385,61.05408333,1
1,2020,P. nathusii,SEI2,Seili,0,350,60.23959333,1
1,2020,P. nathusii,SEI3,Seili,21,350,60.23959333,1
1,2020,P. nathusii,TVA2,Tvarminne,9,448,59.84394167,1
1,2020,P. nathusii,TVA3,Tvarminne,9,448,59.84394167,1
1,2021,E. nilssonii,HYY2,Hyytiala,15,602,61.84478167,1
1,2021,E. nilssonii,HYY3,Hyytiala,66,602,61.84478167,1
1,2021,E. nilssonii,KON2,Konnevesi,0,364,62.61605,1
1,2021,Myotis sp.,HYY2,Hyytiala,67,602,61.84478167,1
